REF_AREA_LABEL,Year,GDP (current US$),"Population, total"
Brunei Darussalam,1960,,88347
Brunei Darussalam,1961,,92517
Brunei Darussalam,1962,,96719
Brunei Darussalam,1963,,101159
Brunei Darussalam,1964,,105922
Brunei Darussalam,1965,114039500.6,110838
Brunei Darussalam,1966,132757528,115874
Brunei Darussalam,1967,139029537.2,121017
Brunei Darussalam,1968,160818235.9,126222
Brunei Darussalam,1969,161210236.4,131446
Brunei Darussalam,1970,179078929.3,135138
Brunei Darussalam,1971,197525767.8,137921
Brunei Darussalam,1972,270822782,142189
Brunei Darussalam,1973,433095526.7,147369
Brunei Darussalam,1974,2319576214,152656
Brunei Darussalam,1975,2496420258,158070
Brunei Darussalam,1976,3054765590,163607
Brunei Darussalam,1977,3681242528,169277
Brunei Darussalam,1978,4100423674,174884
Brunei Darussalam,1979,6044367628,180422
Brunei Darussalam,1980,10795432294,186111
Brunei Darussalam,1981,9367218664,191977
Brunei Darussalam,1982,8932198186,198165
Brunei Darussalam,1983,7927590750,204741
Brunei Darussalam,1984,7632788075,211661
Brunei Darussalam,1985,6967623884,218919
Brunei Darussalam,1986,4190280003,226495
Brunei Darussalam,1987,4918010080,233860
Brunei Darussalam,1988,4535130305,240913
Brunei Darussalam,1989,4983622881,248064
Brunei Darussalam,1990,6039881087,255292
Brunei Darussalam,1991,6284497300,262596
Brunei Darussalam,1992,6327966445,269839
Brunei Darussalam,1993,6203339925,276971
Brunei Darussalam,1994,6467782521,284091
Brunei Darussalam,1995,7700144057,291195
Brunei Darussalam,1996,7663377277,298276
Brunei Darussalam,1997,7793034390,305341
Brunei Darussalam,1998,5550846025,312385
Brunei Darussalam,1999,6309070375,319411
Brunei Darussalam,2000,6570999060,326424
Brunei Darussalam,2001,6096155748,333345
Brunei Darussalam,2002,6333082879,340099
Brunei Darussalam,2003,7167725265,346637
Brunei Darussalam,2004,8619178799,352911
Brunei Darussalam,2005,10547202612,358916
Brunei Darussalam,2006,12644616446,364663
Brunei Darussalam,2007,13432029496,370873
Brunei Darussalam,2008,15926456492,377793
Brunei Darussalam,2009,11912904529,384952
Brunei Darussalam,2010,13707121031,392332
Brunei Darussalam,2011,18524791071,399389
Brunei Darussalam,2012,19048443340,405557
Brunei Darussalam,2013,18094148099,411202
Brunei Darussalam,2014,17097797372,416750
Brunei Darussalam,2015,12930296852,422212
Brunei Darussalam,2016,11400266055,427564
Brunei Darussalam,2017,12128168047,432772
Brunei Darussalam,2018,13566908401,437810
Brunei Darussalam,2019,13469235348,442680
Brunei Darussalam,2020,12005799664,447404
Brunei Darussalam,2021,14006496614,451721
Brunei Darussalam,2022,16681536443,455370
Brunei Darussalam,2023,15095084686,458949
Brunei Darussalam,2024,15463134387,462721
Cambodia,1960,,5449966
Cambodia,1961,,5571168
Cambodia,1962,,5697558
Cambodia,1963,,5823010
Cambodia,1964,,5946178
Cambodia,1965,,6072289
Cambodia,1966,,6201232
Cambodia,1967,,6332944
Cambodia,1968,,6467324
Cambodia,1969,,6604725
Cambodia,1970,,6639182
Cambodia,1971,,6620880
Cambodia,1972,,6673886
Cambodia,1973,,6739726
Cambodia,1974,,6783240
Cambodia,1975,749129748.2,6581371
Cambodia,1976,790357254.5,6134991
Cambodia,1977,716261764.5,5668551
Cambodia,1978,766642356.1,5211653
Cambodia,1979,723738502.7,5088808
Cambodia,1980,744384129.7,5199872
Cambodia,1981,815153652.4,5284495
Cambodia,1982,865516039.8,5436432
Cambodia,1983,939291262.1,5636203
Cambodia,1984,1021176059,5845117
Cambodia,1985,1102669184,6043783
Cambodia,1986,1167630318,6285693
Cambodia,1987,1036974910,6557970
Cambodia,1988,1662877859,6812014
Cambodia,1989,1353137648,7073473
Cambodia,1990,1402541177,7374752
Cambodia,1991,2054974089,7686850
Cambodia,1992,2491486594,8113083
Cambodia,1993,2533727592,8616381
Cambodia,1994,2791435272,9239162
Cambodia,1995,3441205693,10018497
Cambodia,1996,3506695720,10801270
Cambodia,1997,3443413389,11570982
Cambodia,1998,3120425503,12058173
Cambodia,1999,3517242477,12265731
Cambodia,2000,3694168979,12462336
Cambodia,2001,4145665970,12658484
Cambodia,2002,4501227627,12855241
Cambodia,2003,5046693484,13050968
Cambodia,2004,5883297160,13244731
Cambodia,2005,7066296463,13439202
Cambodia,2006,8350531017,13639028
Cambodia,2007,10127916460,13841770
Cambodia,2008,12174303999,14053479
Cambodia,2009,12502901170,14276810
Cambodia,2010,13808673288,14500726
Cambodia,2011,16032622024,14722584
Cambodia,2012,17826536700,14945085
Cambodia,2013,19807135253,15170208
Cambodia,2014,22041463968,15396772
Cambodia,2015,24174170369,15623251
Cambodia,2016,26556545153,15852803
Cambodia,2017,29355665910,16073372
Cambodia,2018,33145892169,16274522
Cambodia,2019,36685356408,16481304
Cambodia,2020,34818073901,16725474
Cambodia,2021,36790163687,16974305
Cambodia,2022,39994532960,17201724
Cambodia,2023,42335646896,17423880
Cambodia,2024,46352647035,17638801
Indonesia,1960,,88296070
Indonesia,1961,,90791249
Indonesia,1962,,93375850
Indonesia,1963,,96051424
Indonesia,1964,,98833749
Indonesia,1965,,101365130
Indonesia,1966,,103792754
Indonesia,1967,5667756628,106526393
Indonesia,1968,7076465300,109450006
Indonesia,1969,8337423313,112517639
Indonesia,1970,9150684932,115657495
Indonesia,1971,9333536370,118833702
Indonesia,1972,10997590361,122039841
Indonesia,1973,16273253012,125288515
Indonesia,1974,25802409639,128555045
Indonesia,1975,30463855422,131843848
Indonesia,1976,37269156627,135173655
Indonesia,1977,45808915663,138533541
Indonesia,1978,51455719076,141953163
Indonesia,1979,51400186343,145434834
Indonesia,1980,72482337397,148950540
Indonesia,1981,85518233419,152485035
Indonesia,1982,90158449295,156052152
Indonesia,1983,81052283384,159651381
Indonesia,1984,84853700028,163251124
Indonesia,1985,85289488375,166776185
Indonesia,1986,79954072545,170175065
Indonesia,1987,75929617558,173511154
Indonesia,1988,84300174486,176855065
Indonesia,1989,94451427877,180201630
Indonesia,1990,1.06E+11,183501098
Indonesia,1991,1.17E+11,186778238
Indonesia,1992,1.28E+11,190043744
Indonesia,1993,1.58E+11,193305168
Indonesia,1994,1.77E+11,196591828
Indonesia,1995,2.02E+11,199888057
Indonesia,1996,2.27E+11,203204348
Indonesia,1997,2.16E+11,206536095
Indonesia,1998,95445547873,209826788
Indonesia,1999,1.4E+11,213004668
Indonesia,2000,1.65E+11,216077790
Indonesia,2001,1.6E+11,219097902
Indonesia,2002,1.96E+11,222088495
Indonesia,2003,2.35E+11,225048008
Indonesia,2004,2.57E+11,227926649
Indonesia,2005,2.86E+11,230871650
Indonesia,2006,3.65E+11,233951652
Indonesia,2007,4.32E+11,237062337
Indonesia,2008,5.1E+11,240157903
Indonesia,2009,5.4E+11,243220028
Indonesia,2010,7.55E+11,246305322
Indonesia,2011,8.93E+11,249470032
Indonesia,2012,9.18E+11,252698525
Indonesia,2013,9.13E+11,255852467
Indonesia,2014,8.91E+11,258877399
Indonesia,2015,8.61E+11,261799249
Indonesia,2016,9.32E+11,264627418
Indonesia,2017,1.02E+12,267346658
Indonesia,2018,1.04E+12,269951846
Indonesia,2019,1.12E+12,272489381
Indonesia,2020,1.06E+12,274814866
Indonesia,2021,1.19E+12,276758053
Indonesia,2022,1.32E+12,278830529
Indonesia,2023,1.37E+12,281190067
Indonesia,2024,1.4E+12,283487931
Lao PDR,1960,,2121514
Lao PDR,1961,,2169796
Lao PDR,1962,,2219910
Lao PDR,1963,,2271061
Lao PDR,1964,,2322826
Lao PDR,1965,,2376200
Lao PDR,1966,,2431084
Lao PDR,1967,,2487715
Lao PDR,1968,,2546377
Lao PDR,1969,,2606959
Lao PDR,1970,,2669702
Lao PDR,1971,,2734628
Lao PDR,1972,,2801660
Lao PDR,1973,,2870573
Lao PDR,1974,,2939761
Lao PDR,1975,,3005521
Lao PDR,1976,,3064876
Lao PDR,1977,,3118923
Lao PDR,1978,,3171740
Lao PDR,1979,,3228202
Lao PDR,1980,,3292573
Lao PDR,1981,,3366631
Lao PDR,1982,,3450026
Lao PDR,1983,,3541001
Lao PDR,1984,1757142856,3637843
Lao PDR,1985,2366666616,3739985
Lao PDR,1986,1776842097,3846715
Lao PDR,1987,1087273104,3957612
Lao PDR,1988,598961269.3,4072601
Lao PDR,1989,714046821.1,4190974
Lao PDR,1990,865559879.4,4311955
Lao PDR,1991,1028087972,4435118
Lao PDR,1992,1127806945,4559646
Lao PDR,1993,1327748690,4685060
Lao PDR,1994,1543606345,4809220
Lao PDR,1995,1763536305,4929409
Lao PDR,1996,1873671550,5045678
Lao PDR,1997,1747011857,5152011
Lao PDR,1998,1280177839,5248266
Lao PDR,1999,1454430642,5340784
Lao PDR,2000,1731198022,5431212
Lao PDR,2001,1768619058,5521482
Lao PDR,2002,1758176653,5610889
Lao PDR,2003,2023324407,5697945
Lao PDR,2004,2366398120,5781626
Lao PDR,2005,2735558735,5869523
Lao PDR,2006,3455030061,5963200
Lao PDR,2007,4223152739,6056236
Lao PDR,2008,5446433157,6148969
Lao PDR,2009,5836137330,6241642
Lao PDR,2010,7131771015,6334194
Lao PDR,2011,8750104617,6426590
Lao PDR,2012,10192846339,6518978
Lao PDR,2013,11983252627,6611385
Lao PDR,2014,13279245886,6703172
Lao PDR,2015,14426380126,6801645
Lao PDR,2016,15912501723,6908802
Lao PDR,2017,17071155481,7018147
Lao PDR,2018,18141641090,7128045
Lao PDR,2019,18740561513,7237636
Lao PDR,2020,18981805250,7346533
Lao PDR,2021,18827148531,7453194
Lao PDR,2022,15468785204,7559007
Lao PDR,2023,15843155731,7664993
Lao PDR,2024,16502933121,7769819
Malaysia,1960,1916229477,7956197
Malaysia,1961,1901856123,8164443
Malaysia,1962,2001489602,8380172
Malaysia,1963,2510110348,8602160
Malaysia,1964,2674423922,8828406
Malaysia,1965,2956337669,9056408
Malaysia,1966,3143517944,9284688
Malaysia,1967,3188924677,9507099
Malaysia,1968,3330371551,9725281
Malaysia,1969,3664552041,9947597
Malaysia,1970,3864145667,10178802
Malaysia,1971,4244395956,10423453
Malaysia,1972,5043347250,10676835
Malaysia,1973,7662902678,10935621
Malaysia,1974,9496204302,11200906
Malaysia,1975,9298800799,11471914
